proyecto,fecha,titulo,estado,proponente,autores
12878/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 1385 DEL CÓDIGO CIVIL,E,P,"Ugarte Mamani, Jhakeline Katy, Sánchez Palomino, Roberto Helbert, Varas Meléndez, Elías Marcial ver más..."
12877/2025-CR,17/10/2025,"PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 30 DE LA LEY 30407, LEY DE PROTECCIÓN Y BIENESTAR ANIMAL, PARA PRECISAR RESPONSABLES DE APLICAR SANCIONES",E,P,"Ugarte Mamani, Jhakeline Katy, Sánchez Palomino, Roberto Helbert, Varas Meléndez, Elías Marcial ver más..."
12876/2025-CR,17/10/2025,PROYECTO DE LEY QUE GARANTIZA LA IGUALDAD RETRIBUTIVA Y LA NO DISCRIMINACIÓN EN LA REMUNERACIÓN DE LOS JUECES SUPERNUMERARIOS CON LOS JUECES TITULARES DEL PODER JUDICIAL,E,P,"Aragón Carreño, Luis Ángel, Martínez Talavera, Pedro Edwin, Vergara Mendoza, Elvis Hernán ver más..."
12875/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA LA LEY 29571- CÓDIGO DE PROTECCIÓN AL CONSUMIDOR CON EL OBJETO DE FORTALECER EL DERECHO A LA INFORMACIÓN DE LOS CONSUMIDORES,E,P,"Reymundo Mercado, Edgard Cornelio, Bazán Narro, Sigrid Tesoro, Luque Ibarra, Ruth ver más..."
12874/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DEROGA LA LEY 32123, LEY DE MODERNIZACIÓN DEL SISTEMA PREVISIONAL PERUANO, PARA GARANTIZAR LAS PENSIONES DIGNAS DE LOS APORTANTES Y PENSIONISTAS A NIVEL NACIONAL",E,P,"Cruz Mamani, Flavio, Agüero Gutiérrez, María Antonieta, Taipe Coronado, María Elizabeth ver más..."
12873/2025-CR,17/10/2025,"PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 2 DE LA LEY 25129 PARA EXTENDER LA ASIGNACIÓN FAMILIAR, SIN LÍMITE DE EDAD, A TRABAJADORES CON HIJOS CON DISCAPACIDAD SEVERA.",E,P,"Paredes Gonzales, Alex Antonio, Zegarra Saboya, Ana Zadith, Valer Pinto, Héctor ver más..."
12872/2025-CR,17/10/2025,"PROYECTO DE LEY QUE INCORPORA AL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO 728 A LOS TRABAJADORES BAJO EL RÉGIMEN DE CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS EN LA SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCÍAS – SUTRAN.",E,P,"Paredes Gonzales, Alex Antonio, Zegarra Saboya, Ana Zadith, Valer Pinto, Héctor ver más..."
12871/2025-CR,17/10/2025,"PROYECTO DE LEY QUE GARANTIZA LA CONTINUIDAD DEL PROCESO DE FORMALIZACIÓN DE LA PEQUEÑA MINERÍA Y MINERÍA ARTESANAL, MODIFICANDO EL ARTÍCULO 6 DEL DECRETO LEGISLATIVO 1293",E,P,"Quispe Mamani, Wilson Rusbel, Sánchez Palomino, Roberto Helbert, Cutipa Ccama, Víctor Raúl ver más..."
12870/2025-CR,17/10/2025,PROYECTO DE LEY DE PROTECCIÓN Y USO EXCLUSIVO DE LOS INMUEBLES DE LA POLICÍA NACIONAL DEL PERÚ,E,P,"Chirinos Venegas, Patricia Rosa, Yarrow Lumbreras, Norma Martina, Medina Minaya, Esdras Ricardo ver más..."
12869/2025-CR,17/10/2025,PROYECTO DE LEY QUE REGULA LA ADJUDICACIÓN DE LOTES Y EDIFICACIONES ESTATALES DESTINADOS AL FUNCIONAMIENTO DE MERCADOS O CENTROS DE ABASTOS,E,P,"Chirinos Venegas, Patricia Rosa, Yarrow Lumbreras, Norma Martina, Ciccia Vásquez, Miguel Ángel ver más..."
12868/2025-CR,17/10/2025,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERES NACIONAL LA REGULACIÓN EN EL DISEÑO, FABRICACION, INSTALACION, OPERACIÓN, MANTENIMIENTO Y REEMPLAZO DE LAS CALDERAS EN LA PRODUCCION DE BIENES Y SERVICIOS A NIVEL NACIONAL",E,P,"Zeballos Madariaga, Carlos Javier, Reymundo Mercado, Edgard Cornelio, Bazán Narro, Sigrid Tesoro ver más..."
12867/2025-CR,17/10/2025,"PROYECTO DE LEY QUE MODIFICA LA LEY 27918, LEY DE CREACIÓN DEL COLEGIO DE TRABAJADORES SOCIALES DEL PERÚ, PARA INCORPORAR DISPOSICIONES SOBRE LOS COMITÉS ELECTORALES NACIONAL Y REGIONAL, Y LA CONFORMACIÓN DEL COMITÉ ELECTORAL",E,P,"Montalvo Cubas, Segundo Toribio, Cruz Mamani, Flavio, Agüero Gutiérrez, María Antonieta ver más..."
12866/2025-CR,17/10/2025,"PROYECTO DE LEY PARA LA PREVENCIÓN Y SANCIÓN DEL ABIGEATO Y EL FORTALECIMIENTO DE LA SEGURIDAD GANADERA, MEDIANTE LA MODIFICACIÓN DEL CÓDIGO PENAL",E,P,"Cruz Mamani, Flavio, Mita Alanoca, Isaac, Montalvo Cubas, Segundo Toribio ver más..."
12865/2025-CR,17/10/2025,PROYECTO DE LEY QUE PROTEGE EL DERECHO A LA LIBRE EMPRESA Y EVITA CARGAS ECONÓMICAS INJUSTIFICADAS EN EL TRANSPORTE PÚBLICO,E,P,"Gutiérrez Ticona, Paul Silvio, Zegarra Saboya, Ana Zadith, Paredes Gonzales, Alex Antonio ver más..."
12864/2025-CR,17/10/2025,"PROYECTO DE LEY QUE FORTALECE EL CONTROL Y LA TRAZABILIDAD DE MUNICIONES EN LA LEY 30299 LEY DE ARMAS DE FUEGO, MUNICIONES, EXPLOSIVOS, PRODUCTOS PIROTÉCNICOS Y MATERIALES RELACIONADOS DE USO CIVIL",E,P,"Gutiérrez Ticona, Paul Silvio, Zegarra Saboya, Ana Zadith, Paredes Gonzales, Alex Antonio ver más..."
12863/2025-CR,17/10/2025,"PROYECTO DE LEY QUE AUTORIZA, DE MANERA EXCEPCIONAL Y POR ÚNICA VEZ, LA DEVOLUCIÓN DE LOS APORTES AL FONDO DE VIVIENDA MILITAR Y POLICIAL (FOVIPOL) A FAVOR DE SUS APORTANTES",E,P,"Gutiérrez Ticona, Paul Silvio, Zegarra Saboya, Ana Zadith, Zea Choquechambi, Oscar ver más..."
12862/2025-CR,17/10/2025,"PROYECTO DE LEY QUE FORTALECE LA SEGURIDAD JURÍDICA, EL DEBIDO PROCESO Y LA PROTECCIÓN DEL INTERÉS SUPERIOR DEL NIÑO EN LOS PROCEDIMIENTOS DISCIPLINARIOS DEL PERSONAL DOCENTE Y SE MODIFICA EL ARTÍCULO 45 Y 49 DE LA LEY 29944, LEY DE REFORMA MAGISTERIAL",E,P,"Gutiérrez Ticona, Paul Silvio, Zegarra Saboya, Ana Zadith, Zea Choquechambi, Oscar ver más..."
12861/2025-CR,17/10/2025,"PROYECTO DE LEY QUE MODIFICA LA LEY 30299, LEY DE ARMAS DE FUEGO, MUNICIONES, EXPLOSIVOS, PRODUCTOS PIROTÉCNICOS Y MATERIALES RELACIONADOS DE USO CIVIL, CON LA FINALIDAD DE PREVENIR EL DESVÍO ILEGAL DE ARMAS, MUNICIONES Y MATERIALES RELACIONADOS",E,P,"Paredes Fonseca, Karol Ivett, Williams Zapata, José Daniel, Amuruz Dulanto, Yessica Rosselli ver más..."
12860/2025-CR,17/10/2025,PROYECTO DE LEY QUE FORTALECE LAS ACCIONES DE LA COMISIÓN NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS (DEVIDA) EN EL MARCO DE LA POLÍTICA NACIONAL CONTRA LAS DROGAS AL 2030,E,P,"Paredes Fonseca, Karol Ivett, Williams Zapata, José Daniel, Amuruz Dulanto, Yessica Rosselli ver más..."
12859/2025-CR,17/10/2025,PROYECTO DE LEY QUE AUTORIZA LA INCORPORACIÓN PROGRESIVA DE LOS TRABAJADORES CAS DEL MINISTERIO PÚBLICO AL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO 728,E,P,"Aragón Carreño, Luis Ángel, Martínez Talavera, Pedro Edwin, Soto Palacios, Wilson ver más..."
12858/2025-CR,17/10/2025,"PROYECTO DE LEY QUE ELIMINA LAS COMISIONES ABUSIVAS DE LAS AFP, GARANTIZA CUENTAS PREVISIONALES EN ENTIDADES FINANCIERAS Y DEROGA LA LEY 32123",E,P,"Acuña Peralta, Segundo Héctor, Cueto Aservi, José Ernesto, Padilla Romero, Javier Rommel ver más..."
12857/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA LA LEY 27972 LEY ORGÁNICA DE MUNICIPALIDADES Y EXONERA EL PAGO DE ARBITRIOS MUNICIPALES A LAS INSTITUCIONES EDUCATIVAS PÚBLICAS,E,P,"Cruz Mamani, Flavio, Montalvo Cubas, Segundo Toribio, Mita Alanoca, Isaac ver más..."
12856/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA EL DECRETO LEGISLATIVO 1280 PARA GARANTIZAR EL DERECHO HUMANO AL AGUA POTABLE Y SANEAMIENTO DIGNO EN COMUNIDADES RURALES MEDIANTE EL USO DE TECNOLOGÍAS SOSTENIBLES,E,P,"Cruz Mamani, Flavio, Mita Alanoca, Isaac, Montalvo Cubas, Segundo Toribio ver más..."
12855/2025-GL,17/10/2025,"PROYECTO DE LEY QUE MODIFICA LA LEY 14702, DEL 14 DE NOVIEMBRE DE 1963, RESPECTO A LA FECHA OFICIAL DE FUNDACIÓN DEL PUERTO FLUVIAL DE IQUITOS, SOBRE EL RÍO AMAZONAS",E,P,
12854/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA LA LEY ORGÁNICA DEL PODER JUDICIAL PARA LA CREACIÓN DE JUZGADOS AMBIENTALES ESPECIALIZADOS,E,P,"Cruz Mamani, Flavio, Mita Alanoca, Isaac, Montalvo Cubas, Segundo Toribio ver más..."
12853/2025-CR,17/10/2025,PROYECTO DE LEY DE BONIFICACIÓN POR PUESTO DE SALUD PÚBLICA DEL PERSONAL TÉCNICO Y AUXILIAR ASISTENCIAL DE LA SALUD,E,P,"Martínez Talavera, Pedro Edwin, Mori Celis, Juan Carlos, Alva Rojas, Carlos Enrique ver más..."
12852/2025-SBS,17/10/2025,PROYECTO DE LEY QUE MODIFICA EL DECRETO SUPREMO 157-90-EF QUE NORMA EL FUNCIONAMIENTO EN EL PAÍS DE LAS CAJAS MUNICIPALES DE AHORRO Y CRÉDITO,E,P,
12851/2025-CR,17/10/2025,PROYECTO DE LEY QUE DECLARA EL 30 DE MAYO DE TODOS LOS AÑOS COMO EL DÍA NACIONAL DE ACCIÓN PARA LA DETECCIÓN TEMPRANA DE LA ESCLEROSIS MÚLTIPLE,E,P,"Reymundo Mercado, Edgard Cornelio, Luque Ibarra, Ruth, Bazán Narro, Sigrid Tesoro ver más..."
12850/2025-CR,17/10/2025,PROYECTO DE LEY QUE PROMUEVE LA FORMALIZACIÓN DE LAS MICRO Y PEQUEÑAS EMPRESAS A PARTIR DE LA CONSTITUCIÓN DE LA VENTANILLA ÚNICA,E,P,"Reymundo Mercado, Edgard Cornelio, Bazán Narro, Sigrid Tesoro, Luque Ibarra, Ruth ver más..."
12849/2025-CR,17/10/2025,"PROYECTO DE LEY QUE MODIFICA LA SEXTA DISPOSICIÓN COMPLEMENTARIA FINAL DEL DECRETO LEGISLATIVO 1267 Y AUTORIZA A LOS EFECTIVOS DE LA POLICÍA NACIONAL DEL PERÚ (PNP) A REALIZAR SERVICIOS POLICIALES EXTRAORDINARIOS EN SUS DÍAS DE VACACIONES, PERMISO O FRANCO, DE MANERA VOLUNTARIA Y REGULADA",E,P,"Arriola Tueros, José Alberto, Calle Lobatón, Digna, Juárez Calle, Heidy Lisbeth ver más..."
12848/2025-CR,17/10/2025,"PROYECTO DE LEY QUE AUTORIZA EL NOMBRAMIENTO EXCEPCIONAL, DE LOS PROFESIONALES DE LA SALUD, TÉCNICOS Y AUXILIARES ASISTENCIALES DEL MINISTERIO DE DEFENSA, SUS ORGANISMOS, EJERCITO DEL PERÚ, MARINA DE GUERRA Y FUERZA AÉREA, CONTRATADOS HASTA DICIEMBRE DEL AÑO 2024, BAJO EL RÉGIMEN DEL DECRETO LEGISLATIVO 1057- CAS",E,P,"Arriola Tueros, José Alberto, Calle Lobatón, Digna, Juárez Calle, Heidy Lisbeth ver más..."
12847/2025-CR,17/10/2025,"PROYECTO DE LEY QUE ESTABLECE UN NUEVO PLAZO PARA LA PRESENTACIÓN DE SOLICITUDES DE RECONOCIMIENTO COMO DEFENSORES DE LA PATRIA A FAVOR DEL PERSONAL MILITAR, POLICIAL Y CIVIL QUE PARTICIPÓ EN LOS CONFLICTOS ARMADOS CON EL ECUADOR EN LOS AÑOS 1978, 1981 Y 1995",E,P,"Arriola Tueros, José Alberto, Calle Lobatón, Digna, Paredes Castro, Francis Jhasmina ver más..."
12846/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DECLARA EL 7 DE OCTUBRE DE CADA AÑO COMO EL ""DÍA NACIONAL DEL AUDITOR EN SALUD”",E,P,"Arriola Tueros, José Alberto, Calle Lobatón, Digna, Juárez Calle, Heidy Lisbeth ver más..."
12845/2025-CR,17/10/2025,PROYECTO DE LEY QUE DISPONE EL USO OBLIGATORIO DE EQUIPOS DE PROTECCIÓN INTEGRAL CORPORAL POR EL PERSONAL DE LA POLICÍA NACIONAL DEL PERÚ DURANTE EL DESEMPEÑO DEL SERVICIO ACTIVO,E,P,"Arriola Tueros, José Alberto, Calle Lobatón, Digna, Paredes Castro, Francis Jhasmina ver más..."
