proyecto,fecha,titulo,estado,proponente,autores
Proyecto de Ley 11458/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE MODIFICA LA LEY 30877, LEY GENERAL DE BODEGUEROS A FIN DE FORTALECER LA ACTIVIDAD COMERCIAL DEL BODEGUERO Y SU SEGURIDAD",Estado ProcesalPRESENTADO,ProponenteCongreso,"Amuruz Dulanto, Yessica Rosselli, Alva Rojas, Carlos Enrique, Montoya Manrique, Jorge Carlos ver más..."
Proyecto de Ley 11457/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE AUTORIZA EL CAMBIO DE GRUPO OCUPACIONAL Y LÍNEA DE CARRERA, DE FORMA ANUAL, DEL PERSONAL NOMBRADO DEL MINISTERIO DE SALUD, SUS ORGANISMOS PÚBLICOS, UNIDADES EJECUTORAS DE SALUD DE LOS GOBIERNOS REGIONALES Y SANIDADES DE LAS FUERZAS ARMADAS Y DE LA POLICÍA NACIONAL DEL PERÚ, QUE HAYAN CULMINADO EL SERUMS POSTERIOR AL 30 DE MAYO DE 2025",Estado ProcesalPRESENTADO,ProponenteCongreso,"Arriola Tueros, José Alberto, Luna Gálvez, José León, Picón Quedo, Luis Raúl ver más..."
Proyecto de Ley 11456/2024-CR,Fecha de Presentación05/06/2025,LEY QUE DISPONE LA EXTENSIÓN DE LA COBERTURA DEL SEGURO DE VIDA LEY A FAVOR DE LOS TRABAJADORES COMPRENDIDOS BAJO EL RÉGIMEN DEL DECRETO LEGISLATIVO 1057,Estado ProcesalPRESENTADO,ProponenteCongreso,"Burgos Oliveros, Juan Bartolomé, Luna Gálvez, José León, Paredes Castro, Francis Jhasmina ver más..."
Proyecto de Ley 11455/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE CREA LA UNIVERSIDAD NACIONAL DE TALARA, EN EL DISTRITO DE PARIÑAS, PROVINCIA DE TALARA, DEPARTAMENTO DE PIURA",Estado ProcesalPRESENTADO,ProponenteCongreso,"Montalvo Cubas, Segundo Toribio, Cruz Mamani, Flavio, Agüero Gutiérrez, María Antonieta ver más..."
Proyecto de Ley 11454/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE MODIFICA EL CÓDIGO PENAL, DECRETO LEGISLATIVO 635, DELITO DE ABUSO DE AUTORIDAD, PARA INCLUIR COMO AGRAVANTE CUANDO SU COMISIÓN ES REALIZADA POR JUECES Y FISCALES",Estado ProcesalPRESENTADO,ProponenteCongreso,"Valer Pinto, Héctor, Cordero Jon Tay, Luis Gustavo, Morante Figari, Jorge Alberto ver más..."
Proyecto de Ley 11453/2024-CR,Fecha de Presentación05/06/2025,LEY QUE DECLARA EN EMERGENCIA LA ENSEÑANZA DE LAS MATEMÁTICAS EN EL PERÚ Y ESTABLECE MEDIDAS EXTRAORDINARIAS PARA SU RECUPERACIÓN Y FORTALECIMIENTO EN LA EDUCACIÓN BÁSICA Y SUPERIOR,Estado ProcesalPRESENTADO,ProponenteCongreso,"Montalvo Cubas, Segundo Toribio, Cruz Mamani, Flavio, Agüero Gutiérrez, María Antonieta ver más..."
Proyecto de Ley 11452/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE INCORPORA EL NUMERAL 27 AL ARTÍCULO 6, DE LA LEY N° 29357, LEY DE ORGANIZACIÓN Y FUNCIONES DEL MINISTERIO DE RELACIONES EXTERIORES",Estado ProcesalPRESENTADO,ProponenteCongreso,"Lizarzaburu Lizarzaburu, Juan Carlos Martin, Soto Reyes, Alejandro, Acuña Peralta, María Grimaneza ver más..."
Proyecto de Ley 11451/2024-CR,Fecha de Presentación05/06/2025,LEY QUE CREA LA UNIVERSIDAD NACIONAL AUTÓNOMA DEL CENTRO DE AYACUCHO - UNACEA,Estado ProcesalPRESENTADO,ProponenteCongreso,"Montalvo Cubas, Segundo Toribio, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más..."
Proyecto de Ley 11450/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE MODIFICA LOS ARTÍCULOS 2, 3, 4 Y 6 DE LA LEY N°30150, LEY DE PROTECCIÓN DE LAS PERSONAS CON TRASTORNO DEL ESPECTRO AUTISTA (TEA), PARA FORTALECER SUS DERECHOS Y LA ARTICULACIÓN A NIVEL INSTITUCIONAL",Estado ProcesalPRESENTADO,ProponenteCongreso,"Córdova Lobatón, María Jessica, Muñante Barrios, Alejandro, Zeballos Aponte, Jorge Arturo ver más..."
Proyecto de Ley 11449/2024-CR,Fecha de Presentación05/06/2025,LEY QUE GARANTIZA LA ESTABILIDAD LABORAL DURANTE LA REESTRUCTURACIÓN FUNCIONAL DEL SECTOR PÚBLICO,Estado ProcesalPRESENTADO,ProponenteCongreso,"Quiroz Barboza, Segundo Teodomiro, Tacuri Valdivia, Germán Adolfo, Medina Hermosilla, Elizabeth Sara ver más..."
Proyecto de Ley 11448/2024-MP,Fecha de Presentación05/06/2025,LEY QUE CREA EL CENTRO NACIONAL DE PERFILES GENÉTICOS HUMANOS DEL MINISTERIO PÚBLICO - CENAPEGH-MP,Estado ProcesalPRESENTADO,ProponenteMinisterio Público,
Proyecto de Ley 11447/2024-DP,Fecha de Presentación05/06/2025,"LEY QUE MODIFICA LA LEY N° 26520, LEY ORGÁNICA DE LA DEFENSORÍA DEL PUEBLO Y EL DECRETO LEGISLATIVO N° 1256, DECRETO LEGISLATIVO QUE APRUEBA LA LEY DE PREVENCIÓN Y ELIMINACIÓN DE BARRERAS BUROCRÁTICAS",Estado ProcesalPRESENTADO,ProponenteDefensoría del Pueblo,
Proyecto de Ley 11446/2024-CR,Fecha de Presentación05/06/2025,LEY QUE ESTABLECE LA HOMOLOGACIÓN EN NIVELACIÓN DE LA ESCALA DEL INCENTIVO UNICO DEL CAFAE PARA EL PERSONAL ADMINISTRATIVO DEL DECRETO LEGISLATIVO 276 DEL INSTITUTO NACIONAL PENITENCIARIO,Estado ProcesalPRESENTADO,ProponenteCongreso,"Medina Hermosilla, Elizabeth Sara, Tacuri Valdivia, Germán Adolfo, Paredes Gonzales, Alex Antonio ver más..."
Proyecto de Ley 11445/2024-CR,Fecha de Presentación05/06/2025,LEY QUE ESTABLECE EL “DÍA DE LA AMISTAD PERÚ Y PALESTINA” EL 24 DE ENERO DE CADA AÑO,Estado ProcesalPRESENTADO,ProponenteCongreso,"Bazán Narro, Sigrid Tesoro, Paredes Piqué, Susel Ana María, Zeballos Madariaga, Carlos Javier ver más..."
